name,website,investor_count,funding_count,funding_total,funding_last_type,funding_last,funding_last_date,valuation,valuation_date,revenue_year,revenue_total
Kintsugi,https://kintsugihealth.com,19,11,30.14M,Series A,20M,"March 3, 2022",,,,
Swan Systems,https://,1,2,15.5M,Acquired,,"July 15, 2002",,,,
Checkstep,https://checkstep.com,7,4,6.81M,Incubator/Accelerator - II,,"July 12, 2023",$22M,May 2022,,
Mindset Health,https://mindsethealth.com,23,4,18.25M,Series A - II,12M,"March 21, 2023",,,,
EventsCase,https://eventscase.com,3,2,4.67M,Series A,4.67M,"November 6, 2020",,,,
Forsea Foods,https://forseafoods.com,9,4,5.2M,Seed VC - II,,"January 1, 2024",,,,
Allonnia,https://allonnia.com,12,4,90M,Series A - III,30M,"March 8, 2023",,,,
Lutra,https://lutra.ai,7,1,3.8M,Seed VC,3.8M,"December 7, 2023",,,,
Feedvisor,https://feedvisor.com,9,5,32.7M,Series B,20M,"January 31, 2017",,,,
10Beauty,https://10beauty.co,5,4,20.87M,Series A,17M,"February 6, 2024",,,,
Konnecto,https://konnecto.com,13,6,26M,Series A,21M,"June 28, 2022",,,,
Codagenix,https://codagenix.com,9,10,55.42M,Series B - II,25M,"February 15, 2023",,,,
Teleport,https://teleport.org,15,3,2.55M,Acquired,,"April 3, 2017",,,,
Alviere,https://alviere.com,19,6,84.98M,Corporate Minority,4.98M,"May 28, 2024",,,,
Conjure,https://conjurehq.com,1,1,30K,Seed,0.03M,"July 19, 2012",,,,
LegitFit,https://legitfit.com,3,4,3.04M,Seed VC - II,1.9M,"August 25, 2024",,,,
Power to Hydrogen,https://power-h2.com,19,10,23.75M,Series A,18M,"July 25, 2024",$10M,August 2021,,
3i,https://3i.ai,11,2,24M,Series A,24M,"September 23, 2021",,,,
GeoPura,https://geopura.com,9,3,110.84M,Debt,29.44M,"September 30, 2024",,,,
Geniemode,https://geniemode.com,6,3,36.75M,Series B,27.5M,"April 22, 2022",,,,
fizz,https://joinfizz.com,5,3,15.03M,Seed VC - II,14.4M,"June 6, 2024",,,,
Cohealo,https://cohealo.com,5,8,17M,Loan,0.68M,"June 29, 2020",,,,
SatSure,https://satsure.co,22,12,20.12M,Series A - III,,"April 2, 2024",,,,
NeuroFlow,https://neuroflow.com,27,20,58.18M,Private Equity,,"September 6, 2023",,,,
Almentor,https://almentor.net,7,3,21M,Series B - II,10M,"March 16, 2023",,,,
Salonkee,https://salonkee.lu,7,4,38.59M,Series B,30.1M,"June 12, 2023",,,,
Lokal,https://getlokalapp.com,9,7,30.51M,Series B,14.65M,"April 25, 2023",,,,
Devo,https://devo.co.uk,1,1,100K,Grant,0.1M,"June 16, 2022",,,,
SonderMind,https://sondermind.com,18,4,182.5M,Series C,150M,"July 28, 2021",,,,
Velyvelo,https://velyvelo.com,6,5,11.66M,Corporate Minority,,"September 30, 2024",,,,
Filmhub,https://filmhub.com,9,2,6.92M,Seed VC,6.8M,"December 1, 2021",,,,
La Vie Foods,https://laviefoods.com,13,5,67.88M,Series B,27.4M,"October 7, 2024",$62.21M,October 2023,,
Insurely,https://insurely.co.nz,1,,,Incubator/Accelerator,,"January 28, 2017",,,,
Enboarder,https://enboarder.com,9,4,49M,Series B,32M,"February 9, 2022",,,2019,1M
VideaHealth,https://videa.ai,4,4,26.42M,Series A,20M,"March 18, 2022",,,,
Motive,https://motivesoftware.com,2,,,Acquired,,"September 17, 2021",,,,
Collectly,https://collectly.co,17,8,34.6M,Series A,29M,"July 20, 2023",,,,
Yemaachi,https://yemaachi.com,8,2,3.13M,Seed VC,3M,"March 21, 2022",,,,
Upflex,https://upflex.com,14,5,40.51M,Debt,6.41M,"April 22, 2024",,,,
ForMotiv,https://formotiv.com,7,7,9.7M,Incubator/Accelerator - II,,"April 1, 2023",,,,
Springbok Analytics,https://springbokanalytics.com,9,8,7.3M,Grant - III,1.7M,"March 5, 2024",,,,
Pheon Therapeutics,https://pheontx.com,8,2,188M,Series B,120M,"May 21, 2024",,,,
Verdigris Technologies,https://verdigris.co,9,14,42.39M,Unattributed VC,10M,"August 16, 2023",,,,
Voidless,https://voidless-packaging.com,3,3,2.99M,Seed VC,2.36M,"February 6, 2024",,,,
EasyMile,https://easymile.com,10,7,89.14M,Series B,66.53M,"April 28, 2021",,,,
DNAnexus,https://dnanexus.com,20,11,472.55M,Series I,200M,"March 8, 2022",,,,
Ceribell,https://ceribell.com,14,9,158M,Series C - II,50M,"September 21, 2022",,,,
Flo,https://flo.do,,1,700K,Angel,0.7M,"April 20, 2015",,,,
UXCam,https://uxcam.com,10,3,5.04M,Seed VC,5M,"August 2, 2021",,,,
Memfault,https://memfault.com,9,6,35.15M,Series B,24M,"January 24, 2023",,,,
Einride,https://einride.tech,27,15,650.82M,Secondary Market,,"March 31, 2023",,,,
Polywork,https://polywork.com,23,3,44.5M,Series B,28M,"September 15, 2022",,,,
Embrace,https://embrace.co.jp,10,5,14.05M,Corporate Minority,,"February 5, 2020",,,,
Kanarys,https://kanarys.com,15,9,11.4M,Series A - II,1.3M,"January 24, 2024",$17M,October 2022,,
AdmitKard,https://admitkard.com,22,5,11.6M,Series A - II,6M,"February 20, 2023",$15.92M,April 2022,,
JetCool,https://jetcool.com,9,7,19.63M,Series A,17M,"October 11, 2023",,,,
Mira,https://mira.co,2,3,920K,Acquired,,"October 5, 2021",,,,
Fiat Republic,https://fiatrepublic.com,10,3,11.41M,Seed VC - II,7.91M,"December 19, 2023",,,,
Contra,https://contra.com,5,4,45.75M,Series B,30M,"November 2, 2021",,,,
Sano Genetics,https://sanogenetics.com,21,6,26.47M,Incubator/Accelerator,,"July 2, 2024",,,,
Leap,https://helloleap.com,,1,820K,Unattributed,0.82M,"October 18, 2017",,,,
MatchaBar,https://matchabar.co,8,7,14.03M,Series C,0.9M,"April 23, 2024",,,,
PlanetScale,https://planetscale.com,14,6,105M,Incubator/Accelerator,,"June 12, 2023",,,,
Green Check Verified,https://greencheckverified.com,8,8,15.45M,Series A - II,1.5M,"October 20, 2023",$66M,December 2022,,
Happeo,https://happeo.com,7,3,46M,Series B,26M,"July 7, 2022",,,,
Traceable AI,https://traceable.ai,9,5,110.25M,Series C,30M,"May 1, 2024",$450M,May 2022,,
Overjet,https://overjet.ai,13,8,130.55M,Series C,53.2M,"March 5, 2024",$425M,December 2021,,
Jobble,https://jobble.com,19,5,12.92M,Loan,0.68M,"May 3, 2020",,,,
Clutch!,https://imclutch.com,,1,680K,Unattributed,0.68M,"August 23, 2018",,,,
David Energy,https://davidenergy.com,22,8,79.95M,Series A - III,23M,"September 23, 2024",,,,
Nest Health,https://nesthealth.com,8,2,19.4M,Seed VC - II,4.4M,"March 11, 2024",,,,
SpotHero,https://spothero.com,26,11,130.4M,Series D,50M,"August 22, 2019",,,,
InCountry,https://incountry.com,11,3,40M,Series A - II,18M,"September 1, 2020",,,,
Peptone,https://peptone.io,6,2,42.45M,Series A,40M,"June 9, 2022",,,,
Zeller,https://zellercorp.com,1,,,Acquired,,"September 6, 2012",,,,
PortalOne,https://portalone.com,30,4,75M,Series A,60M,"January 27, 2022",,,,
Diagrid,https://diagrid.io,8,2,24.2M,Series A,20M,"October 12, 2022",,,,
Go1,https://go1.com,26,11,373.25M,Series D - II,,"June 8, 2023","$2,000M",June 2022,,
Provus,https://provus.ro,1,,,Acquired,,"February 29, 2016",,,,
Graze,https://graze.com,7,5,3.3M,Acquired,,"February 5, 2019",$69M,September 2013,,
Refurbed,https://refurbed.de,24,6,130.38M,Series C,57M,"November 7, 2023",,,,
Savvy,https://savvy.is,4,1,1.7M,Seed VC,1.7M,"September 29, 2015",,,,
Pennylane,https://pennylane.com,5,6,173.77M,Series C,43.13M,"February 8, 2024",,,,
Inari,https://,3,6,36M,Series B,8M,"January 1, 2001",,,,
Spectro Cloud,https://spectrocloud.com,11,5,71.1M,Series B - II,,"September 14, 2023",,,,
UNTUCKit,https://untuckit.com,7,7,76.5M,Debt,9M,"June 3, 2024",,,,
GetWork,https://getwork.org,7,3,1.16M,Seed VC - III,0.85M,"February 20, 2023",,,,
eddii,https://eddiihealth.com,5,1,2.5M,Seed VC,2.5M,"January 31, 2023",,,,
ROLLER,https://roller.software,8,4,80.94M,Series D,50M,"November 10, 2023",,,,
MyCarrier,https://go.mycarrier.io,4,2,30M,Series B,22M,"September 13, 2022",,,,
Sandbox VR,https://sandboxvr.com,20,5,119M,Series B,37M,"November 10, 2021",,,,
Roomi,https://roomiapp.com,12,3,17.66M,Series A,11M,"November 13, 2017",,,,
Borrowell,https://borrowell.com,21,8,90.53M,Angel,0.08M,"May 2, 2022",,,,
Melodics,https://melodics.com,7,3,1.35M,Incubator/Accelerator,0.02M,"June 27, 2018",,,,
Lookback,https://lookback.io,4,3,8.2M,Series A,6M,"December 13, 2016",,,,
Innovist,https://innovist.com,17,4,11M,Series A,7M,"November 28, 2023",,,,
Dot,https://dotpe.in,16,4,89.2M,Series C,58M,"September 15, 2022",$20M,February 2020,,
GoShare,https://goshare.co,12,6,13.46M,Seed VC,8M,"October 27, 2021",,,,
TriEye,https://trieye.tech,13,5,96M,Incubator/Accelerator,,"July 18, 2022",,,,
Icon Savings Plan,https://iconsavingsplan.com,9,4,12.4M,Seed VC - III,9.2M,"September 24, 2024",,,,
Stonly,https://stonly.com,9,2,25.5M,Series A,22M,"January 27, 2022",,,,
Bazaart,https://bazaart.co,1,1,20K,Seed,0.02M,"April 27, 2012",,,,
UVeye,https://uveye.com,16,8,195.5M,Series D,100M,"May 9, 2023",,,,
pureLiFi,https://purelifi.com,10,9,45.32M,Incubator/Accelerator - II,,"November 2, 2022",,,,
Swiftly,https://goswift.ly,23,8,13.08M,Series B,,"December 9, 2020",,,,
Horizon Robotics,https://horizon.cc,59,15,3.2B,Corporate Minority - IV,"1,000M","October 13, 2022","$5,000M",June 2021,,
QuoteToMe,https://quotetome.com,6,1,2M,Seed VC,2M,"July 29, 2021",,,,
Fundpath,https://fundpath.com,1,2,7.37M,Seed VC - II,2.49M,"April 23, 2024",,,,
BlissClub,https://blissclub.com,19,4,20.25M,Series A,15M,"May 18, 2022",,,,
86 Repairs,https://86repairs.com,14,6,26.04M,Series A,15.2M,"July 26, 2022",,,,
Revolut,https://revolut.com,39,16,1.716B,Secondary Market,,"August 16, 2024","$33,000M",July 2021,2020,361M
Sirona Technologies,https://sirona.tech,11,2,7.5M,Seed VC,6.41M,"June 26, 2024",,,,
Qover,https://qover.com,8,5,69.93M,Series C,30M,"July 6, 2023",,,,
Goodlord,https://goodlord.co,13,6,69.43M,Series C,35.54M,"March 30, 2022",,,,
Pidge,https://pidge.in,2,2,4M,Seed VC,3M,"March 3, 2023",,,,
Ranovus,https://ranovus.com,8,9,76M,Unattributed VC,,"September 1, 2023",,,,
Observe,https://observeinc.com,8,5,300M,Series B - II,30M,"September 26, 2024",$500M,March 2024,,
Pryon,https://pryon.com,37,12,158.78M,Series B,100M,"September 19, 2023",,,,
Doola,https://doola.life,,1,200K,Convertible Note,0.2M,"April 13, 2021",,,,
Illumio,https://illumio.com,20,8,557.15M,Incubator/Accelerator,,"October 4, 2022","$2,750M",June 2021,,
ARABLE,https://arablefarms.com,1,1,180K,Pre-Seed,0.18M,"February 29, 2024",,,,
Occupier,https://occupier.com,8,6,17.15M,Series A,10.5M,"February 9, 2022",,,,
Feel Therapeutics,https://feeltherapeutics.com,16,21,18.89M,Convertible Note - VIII,2.5M,"June 19, 2024",,,,
Itilite,https://itilite.com,9,6,46.22M,Series C,29M,"April 13, 2022",,,,
ECOncrete,https://econcretetech.com,9,7,5.14M,Grant - II,,"June 17, 2021",,,,
Shinobi Therapeutics,https://shinobitx.com,10,3,51M,Grant,,"August 6, 2024",,,,
CollegeVine,https://collegevine.com,5,3,30.7M,Series B,24M,"April 1, 2019",,,,
FibriCheck,https://fibricheck.com,11,11,11.46M,Incubator/Accelerator - VII,,"May 29, 2024",,,,
Avant Meats,https://avantmeats.com,17,8,13.98M,Series A,10.8M,"June 21, 2022",,,,
butter,https://operationgrow.biz,,2,7.27M,Debt - II,7M,"June 2, 2021",,,,
Ai Palette,https://aipalette.com,11,6,13.46M,Series A - IV,1.45M,"June 24, 2024",,,,
Payslip,https://payslip.com,10,3,14.24M,Series A - II,10M,"May 18, 2021",,,,
Shuttlers,https://shuttlers.ng,13,3,5.6M,Series A,4M,"April 4, 2023",,,,
Quizizz,https://quizizz.com,8,3,47M,Series B,31.5M,"June 29, 2021",,,,
Expert360,https://expert360.com,4,3,14.05M,Series B,10.15M,"July 17, 2017",,,,
SellerX,https://sellerx.com,13,6,766.7M,Debt - II,500M,"December 9, 2021","$1,000M",December 2021,,
Synthace,https://synthace.com,13,10,76.6M,Series C,35M,"November 16, 2021",,,,
Descope,https://descope.com,13,2,53M,Seed VC,53M,"February 15, 2023",,,,
Brilliant,https://brilliant.tech,11,3,61M,Acq - Fin,,"August 28, 2024",,,,
ThoughtRiver,https://thoughtriver.com,10,5,10.77M,Series A,9.77M,"September 8, 2020",,,,
Supabase,https://supabase.com,11,8,196.63M,Series C,80M,"September 25, 2024",$0.27M,July 2024,,
AtmosZero,https://atmoszero.energy,9,6,24.7M,Series A,21M,"February 20, 2024",,,,
Opal,https://skindroid.org,1,1,20K,Seed,0.02M,"December 3, 2015",,,,
Sublime Systems,https://sublime-systems.com,9,5,52.56M,Series B,,"September 24, 2024",,,,
Tongo,https://,1,,,Incubator/Accelerator,,"April 29, 2019",,,,
Faye,https://withfaye.com,12,6,49.03M,Series B,31M,"July 30, 2024",,,,
InsightFinder,https://insightfinder.com,10,7,17.14M,Series A,10M,"September 13, 2022",,,,
Citizen,https://citizen.com,14,7,148.2M,Series C,50M,"January 4, 2021",,,,
Plotly,https://plotly.com,12,8,8.3M,Grant,,"July 24, 2024",,,,
Provision Analytics,https://provision.io,14,8,8.98M,Biz Plan Competition,,"November 15, 2023",,,,
Platform9,https://platform9.com,9,7,100M,Series E,26M,"June 15, 2022",,,,
upSWOT,https://upswot.com,14,10,4.57M,Incubator/Accelerator - III,,"April 23, 2024",,,,
Mavenoid,https://mavenoid.com,11,4,45.9M,Debt,6M,"April 1, 2024",,,2019,320K
StoryFit,https://storyfit.com,13,8,11.16M,Series A,5.5M,"September 19, 2022",,,,
Spotawheel,https://spotawheel.gr,8,6,132.96M,Series B - II,,"April 28, 2022",,,2019,11.6M
Adalo,https://adalo.com,7,2,8M,Series A,8M,"May 4, 2021",,,,
MDI Health,https://mdihealth.com,15,9,27.02M,Series A,20M,"February 14, 2023",,,,
Pathao,https://pathao.com,8,5,14.83M,Series A - III,12M,"September 14, 2024",$100M,April 2018,,
Tasso,https://tassoinc.com,15,5,129.22M,Series B,100M,"December 16, 2021",,,,
PhonePe,https://phonepe.com,7,14,2.144B,Growth Equity - II,100M,"May 22, 2023","$12,750M",April 2023,2022,201.6M
Climeworks,https://climeworks.com,13,9,815.91M,Grant,2.44M,"April 9, 2024",,,,
Infermedica,https://infermedica.com,17,12,43.95M,Series B,30M,"January 26, 2022",,,,
CoachHub,https://coachhub.com,9,6,331.67M,Series C,200M,"June 14, 2022",,,,
Copper,https://copperlabs.com,9,6,10.58M,Series A - II,1.08M,"May 30, 2023",,,,
THREAD,https://threadresearch.com,2,2,50M,Private Equity,50M,"August 13, 2020",,,,
Even,https://weareeven.com,1,1,2M,Series A,2M,"August 23, 2016",,,,
Maad,https://maad.io,8,5,3.95M,Debt,0.9M,"May 13, 2024",$10M,September 2023,,
GliaPharm,https://gliapharm.com,7,7,6.47M,Grant - II,,"September 17, 2024",,,,
Privado,https://privado.ai,9,4,17.5M,Series A,14M,"August 24, 2022",,,,
Faraday,https://faraday.ai,6,8,11.42M,Convertible Note,0.4M,"June 1, 2022",,,,
nference,https://nference.com,4,6,146.34M,Unattributed,2.74M,"November 4, 2022",,,,
Headway,https://headwaydigital.com,1,,,Acquired,,"March 2, 2017",,,,
Conjure,https://conjure.inc,8,4,2.25M,Seed VC,2M,"August 14, 2023",,,,
Apollo Graph,https://,8,1,130M,Series D,130M,"August 17, 2021",,,,
FINBOURNE Technology,https://finbourne.com,14,6,186.47M,Series B - II,58.7M,"September 10, 2024",,,,
Fortem Technologies,https://fortemtech.com,11,5,54.8M,Series B,17.8M,"February 21, 2023",,,,
Orbita,https://orbita.ai,7,5,16.93M,Series A,9M,"May 15, 2020",,,,
NewsWhip,https://newswhip.com,23,8,29.6M,Series B,13M,"February 14, 2023",,,,
CorePower Magnetics,https://corepowermagnetics.com,7,8,30.2M,Grant - III,20M,"November 27, 2023",,,2022,1M
Deep Render,https://deeprender.ai,6,5,13.67M,Incubator/Accelerator,,"May 9, 2023",$30M,March 2023,,
Pluto Health,https://trypluto.com,15,5,9.02M,Seed - II,0.12M,"August 23, 2022",,,,
AmpUp,https://ampup.io,22,10,19.83M,Series A - III,15M,"September 26, 2024",,,,
Flux,https://flux.finance,1,1,120K,Seed,0.12M,"October 6, 2021",,,,
Solidus Labs,https://soliduslabs.com,17,4,83M,Series B,45M,"May 12, 2022",,,,
Relativity,https://relativityspace.com,37,11,1.405B,Series F,19.99M,"November 15, 2023","$4,200M",June 2021,,
Velostics,https://velostics.com,9,3,4.45M,Seed VC - II,1.95M,"July 27, 2023",,,,
Chowly,https://chowlyinc.com,7,5,8M,Series A - II,,"May 1, 2021",,,,
Fauna Bio,https://faunabio.com,13,7,13.27M,Grant - IV,0.17M,"January 22, 2024",,,,
Hadean,https://hadean.com,21,9,65.71M,Corporate Minority,,"October 6, 2023",,,,
Skyhawk Therapeutics,https://skyhawktx.com,12,5,181M,Series B,133M,"September 14, 2021",,,,
TerraPay,https://terrapay.com,11,9,258.43M,Loan - III,30M,"August 14, 2024",,,,
Groopit,https://groopit.co,7,8,7.53M,Seed VC,3.5M,"May 18, 2023",,,,
Fullife,https://fullife.co.in,7,5,30.61M,Series C,22M,"December 13, 2021",$20M,June 2018,,
MedStack,https://medstack.co,16,5,5.08M,Seed VC - III,3.11M,"September 15, 2021",,,,
Believer,https://believer.gg,11,2,55M,Series A - II,30.01M,"March 7, 2023",,,,
Comun,https://comun.app,6,2,26M,Series A,21.5M,"August 28, 2024",,,,
Likarda,https://likarda.com,1,1,4M,Series A,4M,"August 29, 2017",,,,
Insurify,https://insurify.com,13,6,154.1M,Unattributed,22.45M,"April 26, 2023",,,,
Island Cannabis Co,https://island.co,2,4,25.54M,Acquired,,"March 30, 2022",,,,
Celona,https://celona.io,7,5,134.8M,Series C - II,34.8M,"April 12, 2024",$109M,October 2020,,
Upbound,https://upbound.io,4,2,69M,Series B,60M,"November 29, 2021",,,,
deepc,https://deepc.ai,7,5,26M,Series A - II,13M,"July 24, 2024",,,,
Pontoro,https://pontoro.com,14,3,12.1M,Seed VC - III,4.6M,"September 26, 2023",,,,
Syndio,https://synd.io,18,10,83.18M,Series C - II,,"March 16, 2022",,,,
Silkhaus,https://silkhaus.com,7,3,7.75M,Line of Credit,,"January 17, 2024",,,,
Xendit,https://xendit.co,16,9,515.01M,Option/Warrant - II,16.2M,"September 22, 2022","$1,000M",September 2021,,
Super73,https://super73.com,3,5,66.94M,Series C,37.51M,"November 8, 2022",,,,
ProNavigator,https://pronavigator.ai,11,6,15.79M,Series B,7.6M,"September 1, 2022",,,,
Volta Medical,https://volta-medical.com,4,3,68.88M,Series B,38.22M,"January 5, 2023",,,,
Bujeti,https://bujeti.com,9,3,2.5M,Seed VC - II,2M,"December 7, 2023",,,,
CoreView,https://coreview.com,1,2,30M,Series B,10M,"October 5, 2020",,,,
Homzmart,https://homzmart.com,10,4,39.3M,Series A - II,23M,"August 1, 2022",,,,
Kyligence,https://kyligence.io,14,5,118M,Series D,70M,"April 20, 2021",,,,
Cloverly,https://cloverly.com,16,6,21.1M,Series A,19M,"May 11, 2023",,,,
Pleo,https://pleo.io,17,9,471.62M,Debt,42.82M,"May 2, 2024","$4,700M",December 2021,,
Vocode,https://vocode.dev,10,3,3.85M,Seed VC - II,3.35M,"February 8, 2024",,,,
BasiGo,https://basi-go.com,18,15,45.92M,Loan - II,10M,"August 15, 2024",,,,
HockeyStack,https://hockeystack.com,11,5,3.2M,Seed VC - II,2.7M,"November 16, 2023",,,,
m3ter,https://m3ter.com,5,3,31.5M,Series A,14M,"April 27, 2023",,,,
Crehana,https://crehana.com,12,10,115.4M,Series B,70M,"August 5, 2021",,,,
4G Capital,https://4g-capital.com,3,3,23.12M,Series C,18.5M,"March 16, 2022",,,,
Ecomap Technologies,https://ecomap.tech,11,4,7.37M,Seed VC - II,3.5M,"August 14, 2023",,,,
Alluxio,https://alluxio.io,7,5,73.68M,Series C,50M,"November 16, 2021",,,,
WellX,https://wellx.com,5,2,4.58M,Series A,3.7M,"March 26, 2001",,,,
Innovapptive,https://innovapptive.com,5,7,65.07M,Series B,26M,"May 4, 2023",,,,
Wombat,https://getwombat.io,1,,,Other Investors,,,,,,
Onit,https://onit.com,6,7,231.37M,Growth Equity,200M,"January 8, 2019",,,2018,16.71M
Interactio,https://interactio.io,8,3,31.65M,Series A,31M,"May 25, 2021",,,,
CloudMile,https://mile.cloud,10,5,28.58M,Series C,8M,"March 1, 2022",,,,
Resolution Games,https://resolutiongames.com,15,3,38.5M,Series C,25M,"July 14, 2021",$87.5M,October 2018,,
Transmute,https://transmute.industries,4,4,2.36M,Seed VC,2.04M,"October 21, 2020",,,,
ARRIS,https://arris.com,2,,,Acq - P2P,,"April 4, 2019",,,,
Persefoni,https://persefoni.com,19,8,164.2M,Series C,50M,"August 11, 2023",,,,
Privacera,https://privacera.com,7,3,63.54M,Series B,50M,"March 9, 2021",,,,
Cellevate,https://cellevate.com,6,6,10.69M,Seed VC - II,3.56M,"September 16, 2024",,,,
GigPro,https://gigpro.com,4,3,21.3M,Series A,16M,"July 9, 2024",,,,
Moda Operandi,https://modaoperandi.com,15,13,423.51M,Unattributed,10M,"August 29, 2024",,,,
IntrCity,https://intrcity.com,1,,,Other Investors,,,,,,
Osmoses,https://osmoses.com,18,9,14.65M,Seed VC,11M,"October 3, 2023",,,,
Skeps,https://skeps.com,2,2,10.5M,Series A,9.5M,"August 31, 2021",,,,
Beyonk,https://beyonk.com,1,2,8.53M,Series A,5.8M,"June 15, 2023",,,,
Qase,https://qase.io,4,2,7.7M,Series A,7.2M,"August 25, 2023",,,,
Hostfully,https://hostfully.com,11,4,5.75M,Seed VC - II,4M,"May 26, 2022",,,,
ShapeTX,https://shapetx.com,7,3,147.5M,Series B,112M,"July 15, 2021",,,,
WoodSpoon,https://eatwoodspoon.com,5,3,16M,Incubator/Accelerator,,"November 13, 2022",,,,
Tandym,https://bytandym.com,3,6,110M,Seed,,"August 24, 2022",,,,
SetSail,https://setsail.co,7,5,44.25M,Series B,11M,"April 6, 2023",,,,
webAI,https://webai.com,,1,43M,Series A,43M,"September 10, 2024",,,,
Evermile,https://evermile.io,4,1,6M,Seed VC,6M,"April 19, 2023",,,,
Cohere Technologies,https://cohere-tech.com,12,6,81.45M,Series E,,"January 30, 2023",$500M,December 2021,,
Indiagold,https://indiagold.co,17,6,24.9M,Series A - II,10M,"November 23, 2022",,,,
ConverseNow,https://conversenow.ai,9,3,28.15M,Series A - II,10M,"August 11, 2022",,,,
Klassroom,https://klassroom.fr,3,3,4.14M,Seed - II,3.17M,"July 29, 2020",,,,
Spendflo,https://spendflo.com,7,4,15.95M,Series A,11M,"April 4, 2023",,,,
NoTraffic,https://notraffic.tech,19,5,70.72M,Series B,50M,"June 27, 2023",,,,
